conversation_id,id,request_id,tenant_name,tenant_id,user_id,message,created_at,expert,answer,page_path,time_took,tags
c431454e-ad53-4d09-95a2-027081c710f1,aecc4c33-04fd-4f90-8eb8-e9863f53fa95,aecc4c33-04fd-4f90-8eb8-e9863f53fa95,66c3847e004033df52086011776cf999,66c3847e004033df52086011776cf999,66c3848a00403952a9cbd45334a6fefb,Summarize this,2025-08-19T19:58:35.948000,Summarizer,"### Project Summary

**Project Name:** Project For Summarize  
**Description:**  
This project aims to attract new and existing members to apply for a home equity line of credit by offering a 0.25% discount on the interest rate. The campaign will run from July 1, 2024, to September 30, 2024, targeting homeowners aged 35-65 and real estate investors within the credit union’s service area.

**Key Messages:**
- ""Unlock the value in your home with a 0.25% discount on our HELOC!""
- ""Make your home work for you – enjoy lower rates on our home equity line of credit.""
- ""Take advantage of our special offer and save more with a discounted HELOC rate.""

**Channels:**
- Digital: website, email marketing, social media, Google Ads, online video
- Traditional: print advertising, branch signage, direct mail, radio
- Promotional Activities: community events, partnerships

**Key Metrics:**
- Number of HELOC Applications
- Loan Approvals
- Website Traffic
- Conversion Rate
- Customer Engagement
- Email Open and Click Rates

**Budget Estimate:** $21,500

**Timeline:**
- Planning: July 1 - July 7, 2024
- Creative Development: July 8 - July 17, 2024
- Pre-Launch Activities: July 18 - July 27, 2024
- Campaign Launch: July 28, 2024

**Current Status:** Planning (0% Complete)

**Tasks:**  
The project includes tasks such as preparing the website, legal & compliance review, staff training, printing and distributing materials, identifying the target audience, budget allocation, defining campaign goals, setting up digital campaigns, campaign kick-off, monitoring campaign performance, post-campaign engagement, weekly performance reviews, data analysis, campaign closure, engaging with customers, and promotional activities. All tasks are currently incomplete.

### Comment Updates
- On Aug 5, 2025, Jamie Wahlin marked the project as ""In Trouble.""
- On Aug 19, 2024, Admin User marked the project as ""On Target.""

### Project Health
This project hasn't started yet, so a health analysis is not available. The current health configuration determines the project has started when the actual start date is set. If this is incorrect, you may edit the project to apply a different health configuration.",/project/66c3861b0046adbee706b1626bc48586/tasks,8.674,
8f83c340-1544-4776-bab3-9ae47e427a86,ca715186-e213-42f3-a38e-33239f0fcfb3,ca715186-e213-42f3-a38e-33239f0fcfb3,66c3847e004033df52086011776cf999,66c3847e004033df52086011776cf999,66c3848a00403952a9cbd45334a6fefb,Summarize this document,2025-08-19T19:58:27.213000,Summarizer,"Please wait - This process can take a while depending on the size of your document... 

The document is an 8-page campaign brief for the ""Bean Voyage Expedition"" by Fréscopa Coffee, aimed at promoting their brand and products through an adventurous coffee discovery experience. The campaign targets ""Energy-Needing Adventurers,"" individuals who love coffee for its energy-boosting properties and have active, adventurous lifestyles. The primary demographic includes both males and females, typically from late teens to middle-aged adults, living in urban, suburban, and recreational areas, with diverse income levels and educational backgrounds.

The campaign focuses on global regions such as North America, Europe, and Asia, with specific countries including the USA, Canada, UK, France, Germany, Japan, South Korea, and Mexico. The objectives are to build brand awareness, increase customer engagement, drive sales of expedition-themed products, create a community of coffee and adventure enthusiasts, foster long-term customer loyalty, and enhance the brand image as adventure-friendly and coffee-expert.

The primary featured products are Fréscopa Explorer's Roast, Fréscopa Coffee Odyssey, and Fréscopa Travel-Roaster. The channel strategy includes social media advertising on platforms like Facebook, Instagram, and TikTok, a web landing page on Frescopa.com, email nurturing, and paid collaborations with adventure and travel influencers. The content will include expedition teasers, adventure stories, behind-the-scenes looks, and coffee origins to generate awareness and interest.

The campaign is scheduled to run from January 1, 2023, to December 31, 2023, with awareness and consideration programs planned for North America, EMEA (Europe, Middle East, and Africa), and APAC (Asia-Pacific) regions throughout the year.",/document/66c385450046603d9227b86ee2f5f56d/66c385450046603e154f6ef58f1510cd/details,7.133,
c8e8eddc-7456-4d97-977f-0a4565339d44,d3924c0a-2806-4321-bd91-cfb2593b4b40,d3924c0a-2806-4321-bd91-cfb2593b4b40,67ff50f60be0bc07fa4236b1c602caaf,67ff50f60be0bc07fa4236b1c602caaf,689a9cc300e30129be8cf306f6186884,"Create a new record, based on file that is provided.",2025-08-19T19:51:54.581000,Maestro,"### I’m ready to take these actions:

- Create a record in Campaigns, based on provided document

Should I go ahead?",/maestro/Ws689b7e544564a077ee3769ae/Rt689b7e544564a077ee3769af/V689b7e554564a077ee376a82/view,7.601,
a966f4e7-14c7-493e-9cee-3139c9a10154,6a283fa7-b975-4231-ba26-b4093bcd339e,6a283fa7-b975-4231-ba26-b4093bcd339e,67ff50f60be0bc07fa4236b1c602caaf,67ff50f60be0bc07fa4236b1c602caaf,689a9cce00e32cffb58ca322f0ef06f5,"Create a new record, based on file that is provided.",2025-08-19T19:50:10.390000,Maestro,"### Actions I’ll take next:

- Create a record in Campaigns, based on provided document

Should I go ahead?",/maestro/Ws689b7e544564a077ee3769ae/Rt689b7e544564a077ee3769af/V689b7e554564a077ee376a82/view,8.014,
25d4dd96-95af-424d-8906-89c531c8a67c,803827e5-9eff-4d98-bfa6-c45c264ba551,803827e5-9eff-4d98-bfa6-c45c264ba551,66c3847e004033df52086011776cf999,66c3847e004033df52086011776cf999,66c3848a00403952a9cbd45334a6fefb,How healthy is program '2025 Health'?,2025-08-19T19:48:50.965000,Health_Expert,"**Project Health** (In Beta)

This is the health of active projects in the 2025 Health program.

- 1 project is In Trouble.


A health analysis could not be generated for 1 additional project. This is typically because the project is not active.

*Project health has been calculated within the past 3 hours. Some projects may have an updated health status if recalculated.",/project/fake-project-id/tasks,3.32,
535d4415-0da5-4de5-9a8d-38a4da99d9ba,4d01a36f-ece5-437e-b397-f693871f1794,4d01a36f-ece5-437e-b397-f693871f1794,66c3847e004033df52086011776cf999,66c3847e004033df52086011776cf999,66c3848a00403952a9cbd45334a6fefb,Find all projects with 'Summarize' in the name,2025-08-19T19:48:47.694000,Redrock_API,"I found one project with 'Summarize' in the name:

| Project |
|---------|
| [Project For Summarize](https://wf-ai-agent-e2e-cl08.my.workfront.com/project/66c3861b0046adbee706b1626bc48586) |

To get this answer, I searched for projects with 'Summarize' in the name.",/home/workspaces,11.977,
7879d90c-1ee0-433d-a618-d87088844057,a545396f-41a4-4694-948e-282996c59fad,a545396f-41a4-4694-948e-282996c59fad,67ff50f60be0bc07fa4236b1c602caaf,67ff50f60be0bc07fa4236b1c602caaf,689a9cc600e30b4e475c1e184a586fde,https://experience.adobe.com/#/@adobeliveex25/so:adobeliveex25-Production/workfront/maestro/Ws689b7e544564a077ee3769ae/Rt689b7e544564a077ee3769af/Rc689cd1184564a077ee904673/record/,2025-08-19T19:48:46.447000,Maestro,"It looks like you're trying to access a specific campaign record. If you need to update or delete this record, please let me know!",/maestro/Ws689b7e544564a077ee3769ae/Rt689b7e544564a077ee3769af/V689b7e554564a077ee376a82/view,7.116,
7879d90c-1ee0-433d-a618-d87088844057,7d3b4c5b-c7ce-4ef1-856e-bb769183efc7,7d3b4c5b-c7ce-4ef1-856e-bb769183efc7,67ff50f60be0bc07fa4236b1c602caaf,67ff50f60be0bc07fa4236b1c602caaf,689a9cc600e30b4e475c1e184a586fde,Summarize the File(s),2025-08-19T20:03:22.117000,Summarizer,"Please wait - This process can take a while depending on the size of your document... 

The document titled ""P1 2026 Balanced Health Initiative"" outlines a campaign aimed at customer acquisition and brand awareness for the brand Special K. The campaign is set to launch on June 1, 2025, and will end on October 31, 2025. It targets health-conscious consumers and is currently active. The campaign type is a refresh, and it will be executed in the fourth quarter of 2025 (25Q4). The project is identified as RK2 - P1 2026 Balanced Health Initiative and was created by Hands-On Labs 12 - CSCLABS2024. One of the assets mentioned is an image file named ""02_FrostedFlakes_1x1 4.jpg."" The campaign record ID is Rc68a4d470ba0e9d1f79267d61.",/maestro/Ws689b7e544564a077ee3769ae/Rt689b7e544564a077ee3769af/V689b7e554564a077ee376a82/view,4.062,
6567a75a-ca2b-43e9-a6e0-d0bab129fc36,44d9f08e-de41-40d7-bf0c-cae86c905788,44d9f08e-de41-40d7-bf0c-cae86c905788,66c3847e004033df52086011776cf999,66c3847e004033df52086011776cf999,66c3848a00403952a9cbd45334a6fefb,How healthy is this project?,2025-08-19T19:48:43.149000,Health_Expert,"**Project Health: Project For Health** (In Beta)

Health: In Trouble

- 2 tasks are missing a description.
- 20 tasks are overdue.
- 0 tasks are complete, but 22 should be complete since the project is 100% through its timeline.
- The project's budget is $12.00, but the cost is currently at $120.00.


The default configuration was used to assess project health. You can edit the project to apply a different configuration.

View current configurations here: [Project Health Configurations](/setup/project-health/)

How to apply a config: [Apply a Config](https://experienceleague.adobe.com/en/docs/workfront/using/basics/ai-assistant/project-health-overview#manage-project-health-configurations)
            ",/project/67646511002a1e8b16f228be7c6beee1/tasks,7.088,
5395c53b-6b52-46f1-9042-eca3bf80b255,74707356-1fab-42cb-8340-46971a56dc49,74707356-1fab-42cb-8340-46971a56dc49,67ff50f60be0bc07fa4236b1c602caaf,67ff50f60be0bc07fa4236b1c602caaf,689a9cca00d8730172e5d4f439db7dce,"Create a new record, based on file that is provided.",2025-08-19T19:48:16.648000,Maestro,"### Here’s what I’ll do next:

- Create a record in Campaigns, based on provided document

Should I go ahead?",/maestro/Ws689b7e544564a077ee3769ae/Rt689b7e544564a077ee3769af/V689b7e554564a077ee376a82/view,19.467,
